first_name,second_name,goals_scored,assists,minutes,goals_conceded,creativity,influence,threat,ict_index,clean_sheets,red_cards,yellow_cards,now_cost,element_type
Folarin,Balogun,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,44,FWD
Cédric,Alves Soares,0,0,59,0,4.3,2.0,0.0,0.6,0,0,0,38,DEF
Mohamed,Elneny,0,1,25,0,2.1,4.0,10.0,1.6,0,0,0,44,MID
Fábio,Ferreira Vieira,1,3,290,2,88.8,82.8,85.0,25.5,1,1,0,54,MID
Gabriel,dos Santos Magalhães,3,1,3042,26,121.9,675.8,379.0,117.9,16,0,4,54,DEF
Kai,Havertz,13,10,2627,22,613.4,763.2,1027.0,240.2,16,0,11,76,MID
Gabriel,Fernando de Jesus,4,7,1470,11,403.0,364.8,756.0,152.7,11,0,6,77,FWD
Jorge Luiz,Frello Filho,0,2,913,11,187.8,165.4,16.0,36.8,4,0,1,53,MID
Jakub,Kiwior,1,3,942,8,106.9,228.8,90.0,42.7,6,0,1,40,DEF
Marcus,Oliveira Alencar,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,45,MID
Gabriel,Martinelli Silva,6,5,2010,23,717.1,500.4,795.0,200.8,10,0,1,75,MID
Eddie,Nketiah,5,4,1065,10,136.3,235.0,417.0,77.2,6,0,3,50,FWD
Martin,Ødegaard,8,11,3098,23,1499.4,910.4,757.0,317.0,19,0,2,86,MID
Thomas,Partey,0,0,785,5,122.9,117.6,37.0,27.8,5,0,3,48,MID
Nicolas,Pépé,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,49,MID
Aaron,Ramsdale,0,0,540,5,0.0,73.2,0.0,7.3,2,0,0,45,GK
Rúnar Alex,Rúnarsson,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,40,GK
Bukayo,Saka,16,12,2922,27,1319.8,1093.8,1342.0,375.7,16,0,4,88,MID
William,Saliba,2,1,3420,29,152.1,697.2,140.0,99.1,18,0,4,59,DEF
Emile,Smith Rowe,0,2,343,3,72.2,62.4,128.0,25.6,3,0,0,53,MID
Kieran,Tierney,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,44,DEF
Takehiro,Tomiyasu,2,1,1140,10,141.8,247.0,143.0,52.8,6,1,0,45,DEF
Leandro,Trossard,12,2,1633,10,384.7,563.6,746.0,169.5,12,0,2,66,MID
Benjamin,White,4,5,2987,26,589.4,765.8,234.0,159.0,18,0,8,61,DEF
Granit,Xhaka,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,60,MID
Oleksandr,Zinchenko,1,2,1717,15,474.8,395.4,133.0,100.4,9,0,2,50,DEF
David,Raya Martin,0,0,2880,24,0.0,413.0,0.0,41.1,16,0,2,53,GK
Declan,Rice,7,9,3225,28,745.3,959.4,451.0,215.9,17,0,5,55,MID
Reiss,Nelson,0,0,256,1,87.7,42.8,39.0,16.9,1,0,1,48,MID
Jurriën,Timber,0,0,70,0,4.7,5.8,2.0,1.3,0,0,2,46,DEF
Karl,Hein,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,40,GK
Charles,Sagoe,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,45,MID
Reuell,Walters,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,40,DEF
Bradley,Ibrahim,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,45,MID
Myles,Lewis-Skelly,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,45,MID
Ethan,Nwaneri,0,0,13,0,12.3,2.0,4.0,1.8,0,0,0,45,MID
Mauro,Bandeira,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,45,MID
James,Sweet,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,40,DEF
Alexandre,Moreno Lopera,2,0,1024,20,156.9,217.8,152.0,52.7,3,0,2,49,DEF
Leon,Bailey,10,11,2063,32,707.1,663.2,623.0,199.1,5,0,5,54,MID
Emiliano,Buendía Stati,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,57,MID
Matty,Cash,2,2,2138,36,231.8,465.2,378.0,107.1,3,0,8,45,DEF
Calum,Chambers,0,1,149,6,12.2,39.0,0.0,5.1,0,0,1,38,DEF
Philippe,Coutinho Correia,0,0,24,1,2.8,4.0,12.0,1.8,0,0,0,58,MID
Keinan,Davis,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,49,FWD
Leander,Dendoncker,1,1,118,3,3.9,59.2,37.0,10.0,0,0,0,49,MID
Diego Carlos,Santos Silva,0,0,1809,36,59.8,370.4,100.0,53.2,6,0,4,44,DEF
Lucas,Digne,1,4,2405,41,601.7,448.4,200.0,125.1,6,0,7,46,DEF
Douglas Luiz,Soares de Paulo,9,5,2994,57,867.0,761.8,381.0,201.1,6,0,12,54,MID
Jhon,Durán,5,1,461,12,55.2,190.2,165.0,40.2,0,0,5,50,FWD
Kortney,Hause,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,39,DEF
Tim,Iroegbunam,0,0,157,7,4.0,18.6,0.0,2.1,0,0,0,44,MID
Boubacar,Kamara,0,1,1653,22,292.7,256.2,44.0,59.1,7,1,7,50,MID
Ezri,Konsa Ngoyo,1,1,3069,54,170.6,554.4,223.0,95.0,7,0,5,45,DEF
Emiliano,Martínez Romero,0,0,3015,48,20.0,802.0,0.0,82.2,8,0,4,52,GK
John,McGinn,6,5,3000,54,690.7,640.4,360.0,169.4,7,1,9,53,MID
Tyrone,Mings,0,0,30,2,13.0,3.6,5.0,2.2,0,0,0,41,DEF
Robin,Olsen,0,0,405,13,0.0,194.6,0.0,19.5,0,0,0,39,GK
Jaden,Philogene-Bidace,0,0,3,1,0.3,0.4,2.0,0.3,0,0,0,45,MID
Jacob,Ramsey,1,1,848,12,159.3,124.0,182.0,46.7,0,0,2,59,MID
Morgan,Sanson,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,45,MID
Viljami,Sinisalo,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,40,GK
Youri,Tielemans,2,6,1613,27,325.4,369.2,136.0,83.3,4,0,3,56,MID
Bertrand,Traoré,0,0,10,0,0.0,3.0,0.0,0.3,0,0,0,50,MID
Ollie,Watkins,19,18,3222,56,588.5,1024.6,1420.0,302.8,7,0,4,89,FWD
Wesley,Moraes Ferreira da Silva,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,50,FWD
Pau,Torres,2,0,2462,37,150.6,479.4,135.0,76.6,6,0,1,46,DEF
Moussa,Diaby,6,11,2168,40,617.8,515.4,675.0,180.6,8,0,1,63,MID
Omari,Kellyman,0,0,35,1,0.5,2.6,2.0,0.5,0,0,0,45,MID
Filip,Marschall,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,40,GK
Nicolò,Zaniolo,2,0,824,13,120.1,146.8,357.0,61.9,2,0,7,54,MID
Oliwier,Zych,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,40,GK
Clément,Lenglet,0,1,1153,27,41.8,250.6,103.0,39.5,2,0,3,45,DEF
Sam,Proctor,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,40,GK
Tommi,O'Reilly,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,45,MID
James,Wright,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,40,GK
Kaine,Kesler-Hayden,0,0,5,0,0.0,0.0,0.0,0.0,0,0,0,40,DEF
Morgan,Rogers,3,1,636,13,118.4,177.8,150.0,44.5,2,0,3,50,MID
Joe,Gauci,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,39,GK
Finley,Munroe,0,0,3,0,1.0,0.0,0.0,0.1,0,0,0,40,DEF
Kadan,Young,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,45,MID
Lander,Emery,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,40,GK
Jaidon,Anthony,0,0,151,5,4.6,9.0,16.0,3.0,0,0,1,49,MID
Philip,Billing,2,3,1385,36,313.5,304.2,267.0,88.3,2,1,3,51,MID
David,Brooks,1,1,271,7,112.4,88.2,113.0,31.4,0,0,1,47,MID
Ryan,Christie,0,5,2908,56,780.2,620.2,351.0,175.4,8,0,6,50,MID
Lewis,Cook,0,3,2787,51,681.9,520.2,67.0,127.2,8,1,5,48,MID
Siriki,Dembélé,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,45,MID
Ryan,Fredericks,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,43,DEF
James,Hill,0,0,74,1,2.2,32.6,0.0,3.5,0,0,0,40,DEF
Lloyd,Kelly,0,1,1553,32,141.8,279.0,48.0,46.9,4,0,2,45,DEF
Gavin,Kilkenny,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,43,MID
Justin,Kluivert,7,1,1910,23,283.2,362.2,619.0,126.4,11,0,5,46,MID
Jamal,Lowe,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,49,MID
Emiliano,Marcondes,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,43,MID
